Code_geo,nom_projet,nom_rue,nb_unites,unites_typ,hlm_famill,hlm_pa,hlm_autres,projettype,type_prog,an_orig,an_effect,arrond,villelie,qr,localisati,aired_id,longitude,latitude,xnad83,ynad83
"571",Des Carriers,Saint-Michel,"89",logement,"0","85","4",HLM,,"1982",,Villeray–Saint-Michel–Parc-Extension,,"7",Aire de diffusion,"24660349",-73.617468370494905,45.567691161210298,295630.824611680873204,5047537.962941469624639
"572",Joliette,Saint-Michel,"34",logement,"34","0","0",HLM,,"1988",,Rosemont–La Petite-Patrie,,"19",Aire de diffusion,"24662035",-73.563167360605803,45.548658202848003,299867.708997125213500,5045418.029340999200940
"573",Joliette,Saint-Michel,"30",logement,"30","0","0",HLM,,"1988",,Rosemont–La Petite-Patrie,,"19",Aire de diffusion,"24662037",-73.560099060417699,45.548320297930097,300107.262669271265622,5045380.293529431335628
"574",Dollier-De-Casson,Saint-Paul,"31",logement,"30","0","1",HLM,,"1978",,Ville-Marie,,"37",Aire de diffusion,"24663464",-73.549866253885469,45.512763399964491,300903.820494730549399,5041428.271469577215612
"575",Tourville A,Saint-Philippe,"6",logement,"6","0","0",HLM,,"1978",,Le Sud-Ouest,,"50",Aire de diffusion,"24661055",-73.581224700026411,45.476086021035329,298449.582993152551353,5037354.302074492909014
"576","Rose-de-Lima A, B, C, D",Saint-Philippe,"8",logement,"8","0","0",HLM,,"1975",,Le Sud-Ouest,,"50",Aire de diffusion,"24661055",-73.581224700026411,45.476086021035329,298449.582993152551353,5037354.302074492909014
"577",Tourville A,Saint-Philippe,"6",logement,"6","0","0",HLM,,"1978",,Le Sud-Ouest,,"50",Aire de diffusion,"24661055",-73.581224700026411,45.476086021035329,298449.582993152551353,5037354.302074492909014
"578",PLM REST. 732-3 (Saint-Philippe),Saint-Philippe,"9",logement,"9","0","0",HLM,,"1975",,Le Sud-Ouest,,"50",Aire de diffusion,"24661055",-73.581224700026411,45.476086021035329,298449.582993152551353,5037354.302074492909014
"579",Lenoir Saint-Henri,Saint-Philippe,"3",logement,"3","0","0",HLM,,"1972",,Le Sud-Ouest,,"50",Aire de diffusion,"24663289",-73.585807310364601,45.475990751601302,298091.287985569098964,5037344.087125259451568
"580","Rose-de-Lima A, B, C, D",Saint-Philippe,"5",logement,"5","0","0",HLM,,"1975",,Le Sud-Ouest,,"50",Aire de diffusion,"24663289",-73.585807310364601,45.475990751601302,298091.287985569098964,5037344.087125259451568
"581","Rose-de-Lima A, B, C, D",Saint-Philippe,"18",logement,"18","0","0",HLM,,"1975",,Le Sud-Ouest,,"50",Aire de diffusion,"24661058",-73.588139585107299,45.477959657332697,297909.182669770263601,5037563.088928289711475
"582",Montcalm,Saint-Timothée,"6",logement,"6","0","0",HLM,,"1974",,Ville-Marie,,"38",Aire de diffusion,"24661849",-73.564552016387395,45.520107585529601,299757.039899377268739,5042245.253705140203238
"583",De Terrebonne,Terrebonne,"127",logement,"0","121","6",HLM,,"1984",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"45",Aire de diffusion,"24660753",-73.632546455753499,45.467090338760002,294435.428944173734635,5036359.949773998931050
"584",Notre-Dame,Théodore,"6",logement,"2","0","4",HLM,,"1987",,Mercier–Hochelaga-Maisonneuve,,"28",Aire de diffusion,"24661728",-73.525685182148777,45.556121271521477,302794.691790095472243,5046245.791090977378190
